,Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Time,Year,Month,Day
622,2,0,12.76,0.69,6.26,235.0,15.83,20,2006,4,5
623,2,0,12.65,0.74,18.13,229.0,14.88,21,2006,4,5
624,2,0,11.69,0.8,11.32,211.0,15.73,22,2006,4,5
625,2,0,10.63,0.88,6.55,210.0,15.73,23,2006,4,5
626,2,0,5.67,0.91,8.73,303.0,9.9,0,2006,4,6
627,2,0,10.05,0.92,6.62,212.0,14.96,1,2006,4,6
628,2,0,9.98,0.93,2.59,168.0,11.98,2,2006,4,6
629,2,0,9.78,0.95,5.46,180.0,6.7,3,2006,4,6
630,2,0,8.66,0.99,4.73,226.0,10.88,4,2006,4,6
631,2,0,7.55,0.95,20.35,328.0,3.98,5,2006,4,6
632,2,0,7.23,0.93,13.85,322.0,3.67,6,2006,4,6
633,2,0,6.04,0.92,23.62,319.0,3.75,7,2006,4,6
634,2,0,6.09,0.85,22.09,329.0,11.13,8,2006,4,6
635,2,0,6.12,0.82,22.17,331.0,7.15,9,2006,4,6
636,2,0,6.07,0.86,17.76,342.0,7.91,10,2006,4,6
637,2,0,6.04,0.93,17.45,324.0,10.98,11,2006,4,6
638,2,0,6.89,0.93,22.46,7.0,9.95,12,2006,4,6
639,2,0,7.06,0.86,16.12,10.0,7.97,13,2006,4,6
640,2,0,6.04,0.93,20.46,1.0,11.13,14,2006,4,6
641,2,0,6.07,0.93,21.14,0.0,10.42,15,2006,4,6
642,2,0,5.04,0.93,20.69,11.0,8.19,16,2006,4,6
643,2,0,5.02,0.92,14.02,10.0,8.05,17,2006,4,6
644,2,0,5.03,0.93,14.94,6.0,7.37,18,2006,4,6
645,2,0,5.0,0.93,11.13,358.0,11.04,19,2006,4,6
646,2,0,4.98,0.93,14.12,339.0,8.05,20,2006,4,6
647,2,0,4.93,0.87,15.94,348.0,9.02,21,2006,4,6
648,2,0,4.47,0.92,13.97,301.0,9.9,22,2006,4,6
649,2,0,4.44,0.92,14.33,310.0,9.9,23,2006,4,6
650,0,0,4.01,0.83,12.16,265.0,13.91,0,2006,4,7
651,2,0,4.91,0.86,13.8,320.0,9.9,1,2006,4,7
652,2,0,4.88,0.83,10.88,338.0,9.9,2,2006,4,7
653,2,0,4.39,0.89,13.4,322.0,9.02,3,2006,4,7
654,2,0,4.84,0.86,16.89,320.0,11.13,4,2006,4,7
655,2,0,4.81,0.83,15.34,330.0,9.98,5,2006,4,7
670,0,0,3.93,0.76,6.26,268.0,15.83,20,2006,4,7
673,0,0,2.69,0.85,10.29,269.0,6.12,23,2006,4,7
674,0,0,5.07,0.81,5.64,181.0,14.96,0,2006,4,8
675,0,0,2.6,0.85,6.05,289.0,15.65,1,2006,4,8
678,0,0,0.96,0.92,1.59,165.0,6.12,4,2006,4,8
679,0,0,0.96,0.92,4.57,341.0,4.59,5,2006,4,8
680,0,0,5.59,0.82,0.23,236.0,5.88,6,2006,4,8
681,0,0,9.82,0.66,14.49,110.0,9.98,7,2006,4,8
682,0,0,11.07,0.54,1.67,30.0,9.98,8,2006,4,8
690,0,0,12.38,0.49,12.45,187.0,9.98,16,2006,4,8
691,0,0,10.21,0.57,9.84,187.0,9.98,17,2006,4,8
692,0,0,9.14,0.62,7.65,163.0,9.98,18,2006,4,8
693,0,0,7.83,0.68,9.74,160.0,9.98,19,2006,4,8
694,0,0,7.73,0.65,6.75,161.0,15.83,20,2006,4,8
695,0,0,7.14,0.69,6.21,165.0,14.96,21,2006,4,8
696,0,0,6.02,0.74,6.41,163.0,15.83,22,2006,4,8
697,0,0,5.46,0.76,6.6,180.0,15.83,23,2006,4,8
699,0,0,3.84,0.82,6.63,169.0,15.83,1,2006,4,9
700,0,0,2.24,0.91,3.48,142.0,14.91,2,2006,4,9
701,0,0,2.02,0.93,6.23,141.0,11.25,3,2006,4,9
702,0,0,2.17,0.92,10.71,121.0,5.04,4,2006,4,9
703,0,0,3.66,0.89,10.72,130.0,6.99,5,2006,4,9
704,0,0,6.11,0.79,11.9,141.0,9.55,6,2006,4,9
706,0,0,12.24,0.52,17.81,160.0,9.98,8,2006,4,9
707,0,0,12.94,0.5,19.63,150.0,9.98,9,2006,4,9
713,2,0,17.39,0.37,14.14,167.0,10.35,15,2006,4,9
721,0,0,19.44,0.9,6.04,291.0,15.83,23,2006,7,31
750,0,0,12.33,0.93,3.09,295.0,10.82,4,2006,8,10
753,1,0,16.25,0.92,9.31,341.0,1.0,7,2006,8,10
766,2,0,19.36,0.76,13.27,29.0,14.91,20,2006,8,10
767,2,0,17.88,0.85,12.69,7.0,14.96,21,2006,8,10
768,2,0,17.25,0.89,10.53,338.0,15.83,22,2006,8,10
769,2,0,16.63,0.92,6.38,328.0,15.83,23,2006,8,10
771,2,0,17.0,0.92,2.66,55.0,14.91,1,2006,8,11
772,2,0,17.07,0.86,6.63,289.0,15.83,2,2006,8,11
773,2,0,16.51,0.79,6.99,307.0,14.96,3,2006,8,11
801,2,0,17.67,0.71,8.77,48.0,9.98,7,2006,8,12
802,2,0,18.8,0.69,8.76,59.0,9.98,8,2006,8,12
803,0,0,19.68,0.67,8.74,60.0,11.03,9,2006,8,12
804,0,0,18.82,0.78,10.63,70.0,11.27,10,2006,8,12
818,2,0,16.27,0.97,5.47,192.0,6.7,0,2006,8,13
830,2,0,18.92,0.9,3.38,274.0,6.54,12,2006,8,13
834,2,0,20.0,0.83,0.06,255.0,11.27,16,2006,8,13
835,2,0,18.87,0.9,0.03,17.0,11.27,17,2006,8,13
836,2,0,17.96,0.96,3.78,89.0,11.08,18,2006,8,13
837,2,0,17.71,0.97,12.22,129.0,11.21,19,2006,8,13
838,2,0,17.73,0.93,10.61,130.0,11.98,20,2006,8,13
839,2,0,16.79,0.97,5.39,143.0,8.05,21,2006,8,13
840,2,0,16.67,0.97,6.18,159.0,7.97,22,2006,8,13
841,2,0,16.16,0.97,6.3,169.0,6.12,23,2006,8,13
842,2,0,17.01,0.91,5.41,178.0,13.68,0,2006,8,14
843,2,0,16.12,0.97,2.87,283.0,6.12,1,2006,8,14
844,2,0,16.12,0.97,2.85,306.0,6.07,2,2006,8,14
845,2,0,15.56,0.96,5.81,224.0,6.58,3,2006,8,14
846,0,0,14.01,1.0,3.08,199.0,5.97,4,2006,8,14
850,2,0,17.81,0.89,7.73,200.0,11.27,8,2006,8,14
865,2,0,17.2,0.9,3.09,104.0,15.73,23,2006,8,14
886,0,0,16.62,0.93,3.14,148.0,15.83,20,2006,8,15
887,0,0,16.67,0.87,3.3,107.0,14.96,21,2006,8,15
914,0,0,19.88,0.85,10.14,139.0,14.96,0,2006,8,17
918,0,0,16.09,0.87,9.48,149.0,8.13,4,2006,8,17
923,0,0,26.13,0.58,13.28,189.0,15.26,9,2006,8,17
926,0,0,31.03,0.45,7.65,201.0,10.35,12,2006,8,17
927,0,0,31.13,0.36,11.17,160.0,16.05,13,2006,8,17
928,0,0,31.13,0.41,11.27,186.0,9.98,14,2006,8,17
930,0,0,30.02,0.48,11.08,162.0,9.98,16,2006,8,17
931,0,0,27.87,0.58,9.18,170.0,9.98,17,2006,8,17
935,0,0,21.2,0.84,6.5,132.0,14.96,21,2006,8,17
936,0,0,21.55,0.81,6.39,152.0,15.83,22,2006,8,17
937,0,0,21.44,0.82,10.84,150.0,15.83,23,2006,8,17
942,0,0,18.84,0.9,7.99,159.0,7.13,4,2006,8,18
962,0,0,20.96,0.87,3.08,121.0,15.83,0,2006,8,19
963,0,0,18.87,0.9,3.7,237.0,15.83,1,2006,8,19
964,0,0,18.34,0.93,6.41,176.0,15.83,2,2006,8,19
965,0,0,18.85,0.93,5.6,186.0,11.69,3,2006,8,19
966,0,0,17.28,0.99,4.8,174.0,11.21,4,2006,8,19
967,0,0,19.92,0.87,4.96,210.0,9.98,5,2006,8,19
968,0,0,23.6,0.74,7.92,243.0,10.35,6,2006,8,19
969,0,0,25.99,0.61,10.93,238.0,9.98,7,2006,8,19
970,0,0,27.73,0.55,12.7,237.0,9.98,8,2006,8,19
971,0,0,28.79,0.5,15.91,230.0,9.98,9,2006,8,19
972,0,0,29.88,0.47,20.25,259.0,9.98,10,2006,8,19
983,0,0,22.24,0.85,2.79,133.0,14.96,21,2006,8,19
988,2,0,18.87,0.93,4.91,280.0,14.81,2,2006,8,2
992,2,0,20.09,0.92,9.77,273.0,11.21,6,2006,8,2
993,2,0,21.09,0.87,12.33,318.0,11.27,7,2006,8,2
1009,0,0,21.55,0.87,6.15,120.0,15.83,23,2006,8,19
1010,0,0,18.78,0.85,9.31,312.0,14.96,0,2006,8,20
1011,0,0,19.98,0.93,3.27,129.0,15.83,1,2006,8,20
1012,0,0,20.99,0.88,6.36,140.0,15.83,2,2006,8,20
1013,0,0,19.99,0.88,4.8,146.0,14.96,3,2006,8,20
1014,0,0,18.87,0.97,0.0,0.0,15.73,4,2006,8,20
1015,0,0,22.09,0.82,3.22,290.0,9.98,5,2006,8,20
1016,0,0,23.77,0.75,0.97,150.0,9.98,6,2006,8,20
1017,0,0,27.18,0.6,0.8,240.0,9.98,7,2006,8,20
1018,0,0,28.79,0.55,5.25,222.0,9.98,8,2006,8,20
1019,0,0,30.86,0.55,8.89,284.0,10.35,9,2006,8,20
1020,0,0,32.04,0.46,8.21,294.0,9.98,10,2006,8,20
1033,0,0,19.88,0.79,20.03,318.0,15.83,23,2006,8,20
1034,0,0,14.99,0.86,10.84,277.0,14.96,0,2006,8,21
1049,2,0,22.63,0.66,5.52,247.0,11.45,15,2006,8,21
1056,0,0,15.06,0.87,6.94,279.0,15.83,22,2006,8,21
1057,0,0,14.99,0.83,11.56,290.0,15.83,23,2006,8,21
1058,0,0,13.21,0.95,4.44,248.0,9.98,0,2006,8,22
1059,0,0,13.37,0.9,6.96,280.0,15.83,1,2006,8,22
1060,0,0,14.32,0.84,11.56,290.0,15.83,2,2006,8,22
1061,0,0,14.34,0.84,16.89,288.0,15.26,3,2006,8,22
1081,0,0,13.96,0.95,3.77,268.0,9.98,23,2006,8,22
1082,0,0,13.24,0.9,6.31,238.0,9.98,0,2006,8,23
1083,0,0,13.32,0.93,3.98,255.0,9.98,1,2006,8,23
1084,0,0,12.3,0.95,3.72,264.0,9.98,2,2006,8,23
1107,0,0,11.68,0.96,3.06,234.0,6.3,1,2006,8,24
1108,0,0,11.09,0.96,3.35,208.0,6.3,2,2006,8,24
1109,0,0,10.79,0.96,6.04,172.0,6.84,3,2006,8,24
1110,0,0,11.0,0.93,4.51,219.0,6.12,4,2006,8,24
1142,2,0,22.33,0.65,9.42,255.0,10.4,12,2006,8,25
1203,2,0,15.56,0.93,20.87,291.0,8.13,1,2006,8,28
1204,2,0,15.0,0.93,24.07,309.0,7.97,2,2006,8,28
1205,2,0,14.52,0.96,16.29,330.0,4.99,3,2006,8,28
1208,2,0,15.0,0.94,14.55,310.0,10.88,6,2006,8,28
1209,2,0,15.12,0.93,12.53,299.0,11.08,7,2006,8,28
1210,2,0,15.12,0.93,15.49,308.0,8.05,8,2006,8,28
1223,0,0,15.17,0.87,6.87,237.0,14.96,21,2006,8,28
1224,0,0,13.87,0.93,3.48,202.0,15.83,22,2006,8,28
1232,2,0,14.92,0.93,9.77,241.0,4.62,6,2006,8,29
1233,2,0,14.91,0.93,14.44,271.0,11.13,7,2006,8,29
1234,2,0,13.91,0.93,24.52,299.0,11.27,8,2006,8,29
1246,2,0,12.76,0.92,6.31,204.0,15.83,20,2006,8,29
1247,2,0,12.38,0.92,7.21,239.0,15.31,21,2006,8,29
1257,2,0,17.85,0.96,7.53,169.0,8.13,7,2006,8,3
1258,2,0,17.87,0.96,7.6,207.0,11.21,8,2006,8,3
1259,2,0,18.09,0.94,9.4,335.0,11.4,9,2006,8,3
1260,2,0,19.08,0.89,4.41,350.0,11.21,10,2006,8,3
1266,2,0,24.83,0.65,9.47,71.0,10.05,16,2006,8,3
1272,2,0,11.64,0.95,3.33,172.0,15.83,22,2006,8,29
1277,2,0,12.69,0.92,2.7,179.0,9.8,3,2006,8,30
1278,2,0,12.2,0.99,10.77,212.0,11.21,4,2006,8,30
1279,2,0,12.22,0.92,9.53,241.0,11.21,5,2006,8,30
1280,2,0,12.31,0.93,8.89,292.0,10.19,6,2006,8,30
1283,2,0,12.74,0.9,10.71,260.0,10.19,9,2006,8,30
1284,2,0,12.83,0.9,12.91,279.0,11.21,10,2006,8,30
1285,2,0,12.87,0.89,16.21,270.0,11.27,11,2006,8,30
1286,2,0,13.77,0.9,17.89,279.0,10.19,12,2006,8,30
1289,2,0,14.91,0.84,13.48,262.0,11.08,15,2006,8,30
1304,0,0,12.79,0.78,17.36,260.0,11.03,6,2006,8,31
1308,2,0,15.02,0.83,23.92,270.0,11.13,10,2006,8,31
1322,0,0,15.83,0.95,5.52,285.0,8.31,0,2006,8,4
1323,2,0,19.28,0.91,3.03,297.0,14.73,1,2006,8,4
1330,2,0,17.71,0.97,8.48,153.0,7.87,8,2006,8,4
1331,2,0,18.79,0.9,8.32,93.0,10.45,9,2006,8,4
1341,0,0,17.16,0.93,9.5,261.0,8.05,19,2006,8,4
1346,0,0,13.65,0.93,3.54,266.0,14.59,0,2006,8,5
1350,0,0,13.83,0.99,14.1,310.0,6.12,4,2006,8,5
1351,0,0,14.91,0.93,12.8,318.0,6.12,5,2006,8,5
1353,2,0,16.14,0.87,7.97,335.0,11.13,7,2006,8,5
1354,2,0,16.23,0.87,5.04,315.0,11.13,8,2006,8,5
1355,2,0,17.26,0.87,10.55,301.0,10.72,9,2006,8,5
1367,0,0,15.33,0.89,6.38,255.0,14.96,21,2006,8,5
1371,0,0,12.74,0.93,2.96,250.0,9.98,1,2006,8,6
1372,0,0,12.74,0.93,6.01,229.0,11.98,2,2006,8,6
1412,2,0,17.87,0.9,4.99,255.0,11.45,18,2006,8,7
1413,2,0,17.22,0.93,3.2,229.0,11.27,19,2006,8,7
1414,2,0,17.22,0.93,5.28,267.0,8.13,20,2006,8,7
1415,2,0,16.77,0.97,3.74,276.0,8.11,21,2006,8,7
1418,0,0,14.93,0.96,5.72,243.0,14.17,0,2006,8,8
1423,2,0,16.18,0.99,9.42,262.0,7.13,5,2006,8,8
1424,2,0,17.19,0.94,10.5,298.0,7.99,6,2006,8,8
1425,2,0,17.78,0.9,13.93,300.0,11.13,7,2006,8,8
1441,0,0,15.03,0.93,6.46,232.0,15.83,23,2006,8,8
1443,0,0,14.54,0.93,6.28,251.0,14.91,1,2006,8,9
1444,0,0,13.96,0.96,6.28,241.0,14.91,2,2006,8,9
1446,0,0,14.01,0.93,4.69,224.0,7.04,4,2006,8,9
1488,2,0,9.04,0.83,19.87,170.0,14.81,23,2006,12,9
1489,0,0,2.63,0.95,10.61,230.0,14.96,0,2006,12,10
1490,2,0,8.4,0.93,10.74,189.0,11.85,1,2006,12,10
1491,2,0,8.36,0.96,6.1,159.0,9.8,2,2006,12,10
1492,2,0,8.36,0.96,10.77,183.0,9.48,3,2006,12,10
1494,0,0,7.13,1.0,3.64,245.0,7.97,5,2006,12,10
1495,1,0,5.35,0.93,2.99,182.0,1.71,6,2006,12,10
1496,1,0,6.09,0.99,2.99,210.0,1.37,7,2006,12,10
1507,0,0,4.18,0.89,12.67,268.0,9.98,18,2006,12,10
1508,0,0,2.39,0.92,9.43,206.0,9.98,19,2006,12,10
1509,0,0,2.89,0.92,6.76,245.0,15.83,20,2006,12,10
1510,0,0,2.01,0.92,10.61,226.0,14.96,21,2006,12,10
1511,0,0,1.83,0.92,11.0,241.0,15.83,22,2006,12,10
1512,0,0,1.87,0.91,6.83,243.0,15.83,23,2006,12,10
1513,1,0,2.21,0.96,3.17,44.0,1.63,0,2006,12,11
1515,0,0,0.57,0.96,3.56,286.0,8.05,2,2006,12,11
1520,1,0,1.11,0.92,3.7,263.0,3.01,7,2006,12,11
1521,0,0,2.25,0.92,0.66,290.0,4.91,8,2006,12,11
1522,0,0,3.11,0.94,4.15,297.0,6.34,9,2006,12,11
1523,0,0,6.16,0.79,3.43,353.0,8.13,10,2006,12,11
